
84 variables
B08301_012MA,Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico),,predicate-only,,0,string,B08301
B08301_013E,Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated,,predicate-only,,0,int,B08301
B08301_013EA,Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated,,predicate-only,,0,string,B08301
B08301_013M,Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated,,predicate-only,,0,int,B08301
B08301_013MA,Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated,,predicate-only,,0,string,B08301
B08301_014E,Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad,,predicate-only,,0,int,B08301
B08301_014EA,Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad,,predicate-only,,0,string,B08301
B08301_014M,Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad,,predicate-only,,0,int,B08301
B08301_014MA,Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad,,predicate-only,,0,string,B08301
B08301_015E,Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat,,predicate-only,,0,int,B08301
B08301_015EA,Annotation of Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat,,predicate-only,,0,string,B08301
B08301_015M,Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat,,predicate-only,,0,int,B08301
B08301_015MA,Annotation of Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat,,predicate-only,,0,string,B08301
B08301_016E,Estimate!!Total!!Taxicab,,predicate-only,,0,int,B08301
B08301_016EA,Annotation of Estimate!!Total!!Taxicab,,predicate-only,,0,string,B08301
B08301_016M,Margin of Error!!Total!!Taxicab,,predicate-only,,0,int,B08301
B08301_016MA,Annotation of Margin of Error!!Total!!Taxicab,,predicate-only,,0,string,B08301
B08301_017E,Estimate!!Total!!Motorcycle,,predicate-only,,0,int,B08301
B08301_017EA,Annotation of Estimate!!Total!!Motorcycle,,predicate-only,,0,string,B08301
B08301_017M,Margin of Error!!Total!!Motorcycle,,predicate-only,,0,int,B08301
B08301_017MA,Annotation of Margin of Error!!Total!!Motorcycle,,predicate-only,,0,string,B08301
B08301_018E,Estimate!!Total!!Bicycle,,predicate-only,,0,int,B08301
B08301_018EA,Annotation of Estimate!!Total!!Bicycle,,predicate-only,,0,string,B08301
B08301_018M,Margin of Error!!Total!!Bicycle,,predicate-only,,0,int,B08301
B08301_018MA,Annotation of Margin of Error!!Total!!Bicycle,,predicate-only,,0,string,B08301
