0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
11873907,,35194,,10211484,,37662,,9039526,,38054,,1171958,,21014,,871935,,17632,,171716,,9189,,68702,,5322,,37521,,3945,,22084,,2755,,259092,,11432,,200586,,9548,,6585,,1464,,13977,,2063,,37246,,3886,,698,,402,,17113,,2855,,29849,,2719,,92913,,6008,,269689,,9659,,124141,,7577,,869626,,16958,,0300000US8,Mountain Division
25517159,,52493,,21115784,,61486,,18578409,,60335,,2537375,,33261,,1887945,,30573,,381826,,12279,,135126,,7845,,81984,,6505,,50494,,5436,,1370547,,18565,,894219,,15284,,238714,,9982,,115929,,6399,,88832,,4861,,32853,,3135,,67936,,6281,,70011,,4693,,238779,,9457,,742246,,16877,,285807,,10143,,1626049,,22583,,0300000US9,Pacific Division
1234933,,16497,,1158187,,16663,,1047757,,16028,,110430,,6637,,85757,,6412,,14703,,2076,,5530,,1404,,2108,,902,,2332,,1023,,3037,,883,,2871,,820,,72,,84,,0,,226,,0,,226,,94,,170,,530,,557,,1459,,815,,903,,584,,13518,,2393,,18873,,3276,,38426,,4383,,0400000US28,Mississippi
2915277,,15590,,2637300,,16780,,2392658,,16694,,244642,,9097,,190050,,8718,,34127,,3593,,11230,,1928,,5236,,1584,,3999,,1330,,33420,,3910,,28440,,3837,,2341,,915,,406,,253,,2074,,660,,159,,231,,3468,,1460,,3259,,981,,7025,,1406,,60586,,4616,,22655,,2707,,147564,,6519,,0400000US29,Missouri
514545,,5926,,442866,,7152,,391949,,7409,,50917,,4192,,36887,,3646,,7123,,1413,,3081,,827,,2414,,1239,,1412,,820,,4758,,1027,,4721,,1036,,0,,177,,37,,64,,0,,177,,0,,177,,62,,93,,759,,349,,6213,,1374,,21487,,2301,,4808,,1278,,33592,,2679,,0400000US30,Montana
1001268,,7891,,908653,,8873,,818915,,9121,,89738,,4339,,69283,,4132,,12021,,1951,,4712,,1171,,2549,,757,,1173,,483,,8159,,1573,,8085,,1574,,28,,47,,0,,165,,23,,41,,23,,46,,999,,631,,822,,423,,3104,,863,,27561,,2783,,5534,,1165,,46436,,3483,,0400000US31,Nebraska
1461037,,13359,,1279785,,14112,,1124622,,15348,,155163,,7985,,117449,,7021,,20612,,3118,,8007,,1905,,6005,,1632,,3090,,1013,,44780,,4781,,44496,,4788,,115,,141,,72,,117,,0,,216,,97,,160,,3956,,1680,,4078,,1035,,3634,,1053,,23281,,2871,,30272,,4332,,71251,,4777,,0400000US32,Nevada
723275,,7108,,637823,,8291,,581204,,9073,,56619,,5090,,44813,,4292,,6396,,1545,,2315,,853,,2287,,1111,,808,,411,,6327,,1096,,5020,,932,,123,,140,,1062,,494,,109,,143,,13,,22,,110,,104,,905,,467,,2287,,757,,17478,,1861,,5323,,1536,,53022,,4088,,0400000US33,New Hampshire
4421054,,17172,,3485604,,20295,,3137002,,19281,,348602,,12283,,249518,,10028,,53632,,5633,,21122,,3253,,12877,,2551,,11453,,2139,,510746,,12014,,251167,,10015,,95516,,5277,,121695,,5582,,27638,,3573,,14730,,2096,,16436,,2957,,1743,,762,,10796,,2256,,118774,,6147,,59545,,5398,,217410,,7511,,0400000US34,New Jersey
907965,,10656,,817948,,10702,,733010,,10967,,84938,,6107,,58513,,4906,,16844,,3594,,5616,,1333,,2812,,1261,,1153,,525,,9567,,2068,,8259,,2013,,193,,194,,1073,,494,,0,,210,,42,,76,,719,,763,,1914,,725,,6079,,1668,,18115,,3016,,7530,,1971,,46093,,3822,,0400000US35,New Mexico
9434909,,28499,,5569558,,30509,,4978442,,29149,,591116,,13919,,442464,,10319,,79474,,5605,,36712,,3959,,20861,,3029,,11605,,1815,,2615708,,23153,,536174,,15856,,1796924,,18083,,260900,,8677,,5527,,1599,,16183,,2706,,72386,,6313,,5773,,1284,,68637,,4753,,584422,,14998,,65866,,4966,,452559,,12104,,0400000US36,New York
4937952,,23910,,4390285,,26509,,3958871,,26849,,431414,,14937,,313948,,12369,,62546,,5128,,28672,,4282,,16118,,2697,,10130,,2042,,55608,,4341,,45366,,3988,,2282,,680,,912,,513,,6028,,1280,,1020,,537,,6574,,1780,,6061,,1204,,7768,,1587,,87959,,6658,,52441,,5618,,331256,,10459,,0400000US37,North Carolina
405490,,6161,,369155,,5729,,334731,,6263,,34424,,3477,,25429,,2947,,4582,,1093,,2559,,981,,1235,,481,,619,,523,,2870,,1221,,2589,,1149,,268,,325,,0,,165,,0,,165,,13,,22,,729,,477,,627,,384,,1019,,580,,12830,,1862,,3667,,1204,,14593,,1892,,0400000US38,North Dakota
5589179,,22634,,5052368,,24063,,4604398,,23606,,447970,,12080,,344433,,11308,,59413,,4702,,20303,,2338,,13954,,2745,,9867,,1678,,83924,,5214,,78936,,5301,,2901,,984,,796,,479,,1075,,360,,216,,169,,8987,,2718,,3530,,938,,14535,,1782,,127235,,7140,,42137,,4207,,256463,,8976,,0400000US39,Ohio
1786689,,13005,,1646072,,12830,,1476730,,12852,,169342,,6762,,134767,,6068,,20155,,2117,,8998,,1718,,3558,,847,,1864,,568,,7609,,1645,,7021,,1644,,288,,280,,81,,107,,98,,109,,121,,109,,2017,,807,,2658,,733,,4259,,939,,26055,,2219,,19072,,2313,,78947,,4561,,0400000US40,Oklahoma
2011340,,16674,,1629202,,15054,,1438719,,15103,,190483,,7972,,152154,,7771,,21739,,2679,,9530,,1892,,4779,,1378,,2281,,835,,93903,,6115,,65575,,4766,,4620,,1455,,3547,,1085,,19623,,2531,,538,,352,,1589,,889,,3814,,1182,,39153,,3599,,76020,,4328,,21072,,2977,,146587,,5691,,0400000US41,Oregon
6179069,,21998,,5166668,,30031,,4646438,,27620,,520230,,12890,,402025,,11831,,64436,,4965,,26811,,3436,,15897,,2149,,11061,,1740,,353582,,11839,,214110,,9927,,65865,,4989,,55292,,3987,,17994,,2592,,321,,225,,10792,,2106,,4776,,1207,,27814,,3098,,225258,,8658,,56651,,3926,,333528,,10600,,0400000US42,Pennsylvania
536938,,7500,,471326,,7934,,427425,,8337,,43901,,4884,,33361,,4068,,7214,,2114,,1878,,985,,573,,639,,875,,584,,16475,,2611,,10583,,2359,,749,,467,,4840,,1161,,51,,84,,252,,346,,790,,645,,203,,204,,1456,,706,,17593,,2515,,4867,,1369,,24228,,3614,,0400000US44,Rhode Island
2357976,,18472,,2138410,,19950,,1934730,,20550,,203680,,9449,,149828,,8002,,33646,,4017,,11020,,2506,,4123,,1450,,5063,,1283,,13837,,2680,,12337,,2469,,320,,373,,67,,93,,905,,725,,208,,216,,3405,,1056,,1797,,696,,5385,,1312,,48313,,3976,,25984,,3675,,120845,,6556,,0400000US45,South Carolina
448247,,5678,,397648,,6449,,357493,,6859,,40155,,3692,,31354,,3466,,4826,,946,,2091,,816,,1406,,876,,478,,439,,1578,,672,,1578,,672,,0,,167,,0,,167,,0,,167,,0,,167,,477,,394,,916,,467,,1708,,755,,14428,,2177,,4098,,1098,,27394,,2065,,0400000US46,South Dakota
3178187,,19195,,2889128,,19194,,2606405,,20565,,282723,,9094,,224081,,8646,,36951,,3636,,12738,,2279,,7047,,1669,,1906,,644,,19604,,2843,,17629,,2652,,287,,343,,1226,,534,,376,,379,,86,,116,,5780,,2140,,2558,,833,,3919,,1098,,44697,,3653,,33239,,3517,,179262,,7665,,0400000US47,Tennessee
13715977,,43295,,12323394,,52049,,10992403,,52833,,1330991,,22740,,973786,,19748,,195199,,10642,,86987,,8149,,54177,,8480,,20842,,3079,,182144,,9017,,152892,,8414,,6748,,1575,,8856,,1903,,12996,,2400,,652,,482,,17316,,3529,,16419,,2027,,31085,,3511,,211383,,10575,,150724,,9638,,783512,,18934,,0400000US48,Texas
324202,,4671,,274719,,5430,,246999,,5221,,27720,,2617,,21884,,2280,,3716,,1050,,1198,,833,,448,,257,,474,,261,,5324,,1409,,4882,,1405,,442,,309,,0,,161,,0,,161,,0,,161,,269,,208,,184,,183,,1630,,573,,17220,,2141,,2047,,643,,22809,,2072,,0400000US50,Vermont
1583586,,10815,,1369476,,12233,,1205375,,13590,,164101,,8430,,124338,,7802,,19775,,2573,,10527,,2355,,6168,,1644,,3293,,879,,39112,,3790,,20296,,2488,,1550,,606,,9155,,1703,,8006,,1928,,105,,176,,1794,,1138,,4033,,997,,8562,,1588,,32418,,2980,,10534,,2314,,117657,,6728,,0400000US49,Utah
4291816,,17930,,3674870,,20249,,3288926,,23418,,385944,,11263,,287025,,10004,,58640,,5454,,20271,,3704,,11907,,2509,,8101,,1367,,186834,,8018,,83917,,6625,,83972,,4281,,16446,,2067,,1874,,664,,625,,403,,15231,,3334,,5769,,1135,,15012,,2294,,99457,,5899,,47506,,4161,,247137,,10581,,0400000US51,Virginia
3723697,,22427,,3011306,,23395,,2640727,,22638,,370579,,12766,,276807,,10004,,51374,,4823,,18533,,3284,,15295,,2529,,8570,,1954,,264698,,9783,,217358,,9204,,3393,,1054,,12970,,1998,,18440,,2324,,12537,,2295,,4299,,1225,,9346,,1412,,32563,,3316,,129741,,7325,,29298,,2967,,242446,,8169,,0400000US53,Washington
730751,,11139,,665156,,12239,,599123,,12336,,66033,,4569,,52972,,4098,,8513,,1956,,2640,,1056,,1440,,645,,468,,288,,5773,,1363,,4496,,1291,,809,,564,,362,,253,,0,,207,,106,,127,,494,,391,,490,,307,,915,,707,,21207,,2929,,8051,,1480,,28665,,2997,,0400000US54,West Virginia
2959481,,14242,,2626470,,15801,,2389929,,16643,,236541,,8546,,184864,,7026,,32456,,3052,,9572,,1657,,5918,,1076,,3731,,622,,50099,,3528,,47810,,3429,,490,,302,,1599,,702,,135,,128,,65,,52,,4086,,1072,,2662,,719,,18253,,2435,,87615,,4775,,19463,,2187,,150833,,6132,,0400000US55,Wisconsin
279531,,4898,,247183,,5099,,214999,,4953,,32184,,3064,,24586,,2896,,4938,,1372,,1516,,706,,884,,530,,260,,228,,3251,,1255,,3231,,1254,,0,,207,,0,,207,,0,,207,,20,,39,,0,,207,,435,,345,,2916,,1021,,8253,,1797,,1486,,553,,16007,,2542,,0400000US56,Wyoming
1022871,,14440,,941007,,14746,,861965,,15349,,79042,,5331,,60738,,4904,,11174,,2208,,3750,,1172,,1915,,855,,1465,,784,,12130,,2240,,6008,,1242,,1477,,639,,0,,234,,3929,,1134,,716,,611,,2378,,1095,,648,,435,,1532,,606,,28614,,3175,,11670,,1688,,24892,,3118,,0400000US72,Puerto Rico
6204747,,20246,,4965659,,25953,,4493385,,25933,,472274,,12977,,358836,,12231,,69006,,4828,,25050,,2567,,12348,,2036,,7034,,1307,,598757,,14797,,225505,,9750,,211261,,7938,,153194,,6899,,8162,,2010,,635,,487,,24541,,3025,,3805,,1025,,35366,,3157,,187381,,7847,,52591,,4653,,336647,,10096,,0400000US17,Illinois
4958285,,27718,,4344704,,31851,,3885708,,31186,,458996,,14273,,334550,,13214,,75452,,6947,,26745,,4340,,13880,,2776,,8369,,1828,,98285,,6767,,66085,,5688,,26109,,3673,,4009,,1449,,1628,,873,,454,,365,,19404,,3355,,6931,,1862,,9920,,1759,,74008,,4931,,60724,,5500,,344309,,12795,,0400000US13,Georgia
839211,,8224,,734377,,9935,,657045,,10753,,77332,,5374,,59159,,4878,,9087,,1574,,3716,,1230,,2338,,788,,3032,,1437,,6457,,1459,,6127,,1403,,0,,204,,157,,179,,78,,101,,95,,157,,946,,833,,1114,,467,,6345,,1256,,22567,,3017,,5470,,1120,,61935,,5042,,0400000US16,Idaho
702060,,7719,,579400,,8404,,486335,,9030,,93065,,5277,,66297,,4706,,15199,,2569,,7707,,1723,,2995,,1582,,867,,407,,37672,,3847,,37220,,3804,,364,,290,,21,,37,,0,,195,,67,,115,,991,,580,,4765,,1474,,4078,,938,,32002,,4087,,9664,,1906,,33488,,3231,,0400000US15,Hawaii
3227470,,20209,,2941275,,19607,,2634711,,22067,,306564,,11210,,231790,,10325,,41820,,3759,,16292,,3013,,10217,,1727,,6445,,1462,,29628,,3144,,22761,,2950,,1489,,704,,4082,,1236,,687,,450,,609,,543,,4115,,1421,,3136,,973,,13377,,1887,,73084,,5223,,23786,,3015,,139069,,6420,,0400000US18,Indiana
1589421,,12131,,1410912,,12342,,1274662,,13186,,136250,,7185,,104699,,6217,,18893,,2477,,7005,,1708,,3443,,1410,,2210,,755,,17810,,2644,,17151,,2627,,460,,526,,74,,94,,0,,165,,125,,123,,1568,,571,,1507,,572,,5381,,1321,,50497,,3403,,10235,,1359,,91511,,5695,,0400000US19,Iowa
1448010,,10291,,1320174,,10293,,1197587,,11758,,122587,,5853,,90608,,5230,,19619,,2610,,7883,,1632,,2473,,728,,2004,,1168,,7225,,1626,,6249,,1438,,473,,364,,0,,181,,113,,179,,390,,377,,570,,422,,1587,,530,,3980,,1332,,32070,,3179,,8296,,1655,,74108,,4604,,0400000US20,Kansas
1973550,,14963,,1795826,,15035,,1617407,,15917,,178419,,8030,,133141,,6597,,26668,,4006,,11912,,2241,,3990,,1549,,2708,,975,,19494,,3006,,19272,,2964,,78,,143,,111,,143,,0,,201,,33,,54,,1929,,815,,1293,,563,,4769,,1168,,44748,,4223,,20609,,3017,,84882,,5642,,0400000US21,Kentucky
2024266,,17371,,1840019,,17380,,1662337,,18239,,177682,,8806,,136058,,7367,,24463,,3148,,10199,,2038,,3951,,1862,,3011,,983,,23798,,3081,,21671,,2881,,108,,128,,324,,376,,1461,,769,,234,,181,,2217,,821,,1624,,613,,7432,,1302,,43025,,4131,,26478,,3673,,79673,,5458,,0400000US22,Louisiana
668174,,7351,,588068,,8080,,524381,,8315,,63687,,4646,,51774,,4180,,7234,,1459,,2017,,644,,585,,319,,2077,,764,,4257,,904,,3415,,801,,189,,137,,280,,259,,0,,172,,373,,257,,476,,261,,538,,383,,1812,,739,,25434,,2661,,5574,,1111,,42015,,3306,,0400000US23,Maine
3074208,,18537,,2538759,,18534,,2271538,,18698,,267221,,10249,,206528,,8816,,35846,,3632,,11167,,2598,,8575,,1817,,5105,,1419,,246926,,9901,,114841,,7179,,103308,,5034,,24298,,2830,,3926,,1178,,553,,350,,12968,,2612,,1728,,587,,9495,,1750,,67886,,4286,,26958,,3347,,169488,,5793,,0400000US24,Maryland
3637191,,16581,,2797280,,22470,,2532334,,23197,,264946,,10094,,203910,,9420,,34818,,3779,,14688,,3012,,5712,,1644,,5818,,1195,,379177,,11023,,107313,,6557,,185458,,8274,,76953,,5804,,5788,,1282,,3665,,911,,11893,,1973,,1572,,656,,32250,,3211,,181556,,8552,,35464,,3700,,197999,,8223,,0400000US25,Massachusetts
4662155,,19872,,4226433,,22015,,3812559,,23949,,413874,,12291,,324816,,10375,,51588,,3669,,22153,,2930,,8625,,1450,,6692,,1396,,65264,,4521,,63624,,4503,,702,,442,,418,,269,,224,,185,,296,,175,,6327,,1504,,2402,,706,,16086,,2146,,101024,,4880,,34386,,3381,,210233,,8369,,0400000US26,Michigan
2958990,,13629,,2540453,,16063,,2296868,,16904,,243585,,9288,,180404,,8647,,32094,,3000,,15943,,2182,,9841,,1614,,5303,,1244,,100645,,4860,,85429,,4379,,1477,,848,,2257,,802,,11103,,1734,,379,,201,,4586,,1072,,2134,,541,,20126,,2212,,77562,,3993,,22689,,2812,,190795,,7940,,0400000US27,Minnesota
1796247,,11949,,1542540,,13833,,1406994,,14736,,135546,,6426,,108678,,5724,,15317,,3061,,6645,,2210,,2487,,957,,2419,,732,,81154,,5245,,34915,,4028,,3658,,985,,40926,,2906,,1351,,625,,304,,364,,3130,,1034,,959,,475,,6307,,2319,,50418,,5120,,11547,,2171,,100192,,6369,,0400000US09,Connecticut
9857575,,35542,,8604248,,40758,,7703087,,39653,,901161,,23798,,690296,,21682,,123568,,8731,,48176,,5426,,24522,,3980,,14599,,2576,,156860,,9797,,137087,,9427,,9362,,1509,,6172,,1261,,3616,,1283,,623,,442,,30255,,3520,,25373,,3423,,58657,,6172,,154954,,8239,,138904,,7867,,688324,,17057,,0400000US12,Florida
2134022,,16343,,2002523,,17353,,1817479,,18581,,185044,,8771,,141618,,7935,,26087,,3506,,8546,,1449,,4737,,1503,,4056,,1247,,8867,,2531,,8135,,2390,,127,,189,,82,,115,,504,,735,,19,,35,,1283,,681,,2283,,879,,2976,,1217,,26208,,3090,,17442,,2761,,72440,,4730,,0400000US01,Alabama
349811,,5936,,286700,,6517,,244725,,6188,,41975,,3746,,33642,,3377,,5852,,1642,,1658,,635,,421,,256,,402,,323,,3373,,1156,,3148,,1130,,0,,163,,0,,163,,0,,163,,225,,141,,2593,,894,,274,,213,,2324,,685,,24732,,2142,,14674,,1742,,15141,,1862,,0400000US02,Alaska
